@High to low,@Low to High,@Sort_Button,Company,Display,Fingerprint Sensor,Gaming,GC_Null,Gen_Text,Generation,Graphics,Graphics Card,Graphics Company,Link,Model No,Num Keypad,OS,Processor,Processor Brand,RAM,Screen Size,SSD,Thumbnail,Title,Touch Screen,Warranty,Weight,Weight (group),1,@Button,@KW_Filter,@Price Sorting,Price,Sr. No
High to Low,Low to High,FALSE,Zebronics,"Full HD, IPS Screen",No,No,N/A,(12th Gen),12th Gen,Intel Integrated UHD,,Intel,https://www.flipkart.com/zebronics-thin-light-laptop-intel-core-i7-12th-gen-1255u-16-gb-1-tb-ssd-windows-11-home-zeb-nbc-5s/p/itmb605901c4d2a7?pid=COMGTGFGE6CCV92G&lid=LSTCOMGTGFGE6CCV92G92WPYU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGTGFGE6CCV92G.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ZEB-NBC 5S,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/4/n/-original-imagxqetwufbjtyy.jpeg?q=70,Zebronics Thin and Light Laptop,No,1 Year Carry-in Warranty,1.76 kg,1.51 KG TO 1.80 KG ,1,1,1,-43990,43990,23
High to Low,Low to High,FALSE,HP,"Full HD, IPS, multitouch-enabled, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC",Yes,No,N/A,(11th Gen),11th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/hp-x360-pavilion-pen-intel-core-i7-11th-gen-1195g7-16-gb-512-gb-ssd-windows-11-home-14-dy1047tu-thin-light-laptop/p/itm2a54c9548b613?pid=COMGCNDPKPCKGGQZ&lid=LSTCOMGCNDPKPCKGGQZNMIQO2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGCNDPKPCKGGQZ.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,14-dy1047TU,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/l12h1u80/computer/2/s/q/14-dy1048tu-thin-and-light-laptop-hp-original-imagcpuvfpshgd7q.jpeg?q=70,HP x360 Pavilion with pen Thin and Light Laptop,Yes,1 Year Onsite Warranty,1.52 kg,1.51 KG TO 1.80 KG ,1,1,1,-67390,67390,24
High to Low,Low to High,FALSE,DELL,"Full HD (1920x1080), 120Hz refresh rate, 250 nits brightness",No,No,N/A,(13th Gen),13th Gen,Intel Integrated UHD,,Intel,https://www.flipkart.com/dell-inspiron-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itmaeb27988be238?pid=COMGUXC4UXUCH5BQ&lid=LSTCOMGUXC4UXUCH5BQX1CW07&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGUXC4UXUCH5BQ.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,3530,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/o/h/inspiron-3530-thin-and-light-laptop-dell-original-imagx7z26ssh3f2c.jpeg?q=70,DELL Inspiron Intel Core i7 13th Gen 1355U,No,1 Year Onsite Warranty,N/A,N/A,1,1,1,-69990,69990,25
High to Low,Low to High,FALSE,Infinix,"Full HD IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%)",No,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-x3-slim-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-xl422-thin-light-laptop/p/itm8b52da4d2a5a9?pid=COMGRSWXNS9BKMHH&lid=LSTCOMGRSWXNS9BKMHH9SNAHF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGRSWXNS9BKMHH.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,XL422,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/4/p/5/xl422-thin-and-light-laptop-infinix-original-imags7v8jtvc2q6f.jpeg?q=70,Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U,No,1 Year Onsite Warranty,1.24 kg,1.21 KG TO 1.50 KG,1,1,1,-43990,43990,26
High to Low,Low to High,FALSE,Infinix,"Full HD Display, Anti Glare, 300nits peak brightness, NTSC 60%",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-y4-max-series-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm3cea8d640359c?pid=COMGWWBRQKGZDSUX&lid=LSTCOMGWWBRQKGZDSUXTQREMO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGWWBRQKGZDSUX.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,YL613,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,16 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/p/u/inbook-y4-max-core-i5-thin-and-light-laptop-infinix-original-imagxy8mny47qkha.jpeg?q=70,Infinix Y4 Max Series Intel Core i7 13th Gen 1355U,No,1 Year Onsite Warranty,1.78 kg,1.51 KG TO 1.80 KG ,1,1,1,-52990,52990,27
High to Low,Low to High,FALSE,MSI,"FHD+ , IPS-Level panel",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/msi-modern-14-h-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-d13mg-072in-thin-light-laptop/p/itm92ab2cb02fc57?pid=COMGXMY5QMG2RAV2&lid=LSTCOMGXMY5QMG2RAV2PMYCYF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGXMY5QMG2RAV2.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,Modern 14 H D13MG-072IN,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/t/h/-original-imagyj9jzftzyjqf.jpeg?q=70,MSI Modern 14 H Intel Core i7 13th Gen 13620H,No,1 Year Carry-in Warranty,1.6 Kg,1.51 KG TO 1.80 KG ,1,1,1,-68990,68990,28
High to Low,Low to High,FALSE,Infinix,"Full HD Display, Anti Glare, 300nits peak brightness, NTSC 60%",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-y4-max-series-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm3cea8d640359c?pid=COMGWWBRQKGZDSUX&lid=LSTCOMGWWBRQKGZDSUXTQREMO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGWWBRQKGZDSUX.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,YL613,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,16 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/p/u/inbook-y4-max-core-i5-thin-and-light-laptop-infinix-original-imagxy8mny47qkha.jpeg?q=70,Infinix Y4 Max Series Intel Core i7 13th Gen 1355U,No,1 Year Onsite Warranty,1.78 kg,1.51 KG TO 1.80 KG ,1,1,1,-52990,52990,29
High to Low,Low to High,FALSE,MSI,"FHD+ , IPS-Level panel",No,No,N/A,(13th Gen),13th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/msi-modern-14-h-intel-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-d13mg-072in-thin-light-laptop/p/itm92ab2cb02fc57?pid=COMGXMY5QMG2RAV2&lid=LSTCOMGXMY5QMG2RAV2PMYCYF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGXMY5QMG2RAV2.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,Modern 14 H D13MG-072IN,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/t/h/-original-imagyj9jzftzyjqf.jpeg?q=70,MSI Modern 14 H Intel Core i7 13th Gen 13620H,No,1 Year Carry-in Warranty,1.6 Kg,1.51 KG TO 1.80 KG ,1,1,1,-68990,68990,30
High to Low,Low to High,FALSE,Lenovo,Full HD IPS Anti-glare Display,No,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/lenovo-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-thinkbook-15-g4-thin-light-laptop/p/itm1245674a8117a?pid=COMGT82XZER6UDGH&lid=LSTCOMGT82XZER6UDGHIXLVI4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGT82XZER6UDGH.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ThinkBook 15 G4,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/w/5/-original-imagrjfhefuhkppa.jpeg?q=70,Lenovo Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home),No,1 Year Onsite Premium Support,1.70 Kg,1.51 KG TO 1.80 KG ,1,1,1,-57990,57990,31
High to Low,Low to High,FALSE,Infinix,"Full HD, IPS Display (400nits peak brightness, 100% sRGB, NTSC 72%)",Yes,No,N/A,(13th Gen),13th Gen,Intel Integrated 96EU Iris Xe,,Intel,https://www.flipkart.com/infinix-zerobook-13-intel-core-i7-13th-gen-13700h-16-gb-512-gb-ssd-windows-11-home-zl513-thin-light-laptop/p/itm2a5bbdabca4a6?pid=COMGRFPGDHCJWAMX&lid=LSTCOMGRFPGDHCJWAMXVUROLP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGRFPGDHCJWAMX.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,ZL513,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/d/i/zl12-business-laptop-infinix-original-imagm83gc6xr8sau.jpeg?q=70,Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H,No,1 Year Onsite Warranty,1.80 Kg,1.51 KG TO 1.80 KG ,1,1,1,-59990,59990,32
High to Low,Low to High,FALSE,Infinix,"Full HD IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%)",No,No,128 MB,(10th Gen),10th Gen,Intel Integrated UHD,128 MB,Intel,https://www.flipkart.com/infinix-intel-core-i7-10th-gen-1065g7-8-gb-512-gb-ssd-windows-11-home-128-mb-graphics-xl21-thin-light-laptop/p/itm55f5f128bbfdf?pid=COMGQHVMZYZ3TFNS&lid=LSTCOMGQHVMZYZ3TFNSJ4AMYR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGQHVMZYZ3TFNS.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,XL21,No,Windows 11 Home,Intel Core i7,Intel,8 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/t/q/xl21-thin-and-light-laptop-infinix-original-imagz4fhvtw5qq4y.jpeg?q=70,Infinix XL21 Thin and Light Laptop,No,1 Year Onsite Warranty,1.28 Kg,1.21 KG TO 1.50 KG,1,1,1,-39990,39990,33
High to Low,Low to High,FALSE,Infinix,"Full HD, IPS Display (300nits peak brightness, 100% sRGB, NTSC 72%)",No,No,N/A,(11th Gen),11th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/infinix-intel-core-i7-11th-gen-1195g7-16-gb-1-tb-ssd-windows-11-home-inbook-x2-plus-thin-light-laptop/p/itmca865f37ac703?pid=COMGNYAUPNT7ASTU&lid=LSTCOMGNYAUPNT7ASTU90X7IA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGNYAUPNT7ASTU.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,INBook X2 Plus Core i7,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,1 TB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/l/t/v/-original-imagrru8y2zatuzh.jpeg?q=70,Infinix INBook X2 Plus Core i7 Thin and Light Laptop,No,1 Year Onsite Warranty,1.58 Kg,1.51 KG TO 1.80 KG ,1,1,1,-45990,45990,34
High to Low,Low to High,FALSE,MSI,"Full HD, 60Hz 45%NTSC IPS-Level",No,No,N/A,(12th Gen),12th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/msi-modern-14-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-c12m-459-thin-light-laptop/p/itmdc0c6eed9d37b?pid=COMGZ4W6QNHQSTYS&lid=LSTCOMGZ4W6QNHQSTYSI2XLWZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGZ4W6QNHQSTYS.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,Modern 14 C12M-459,No,Windows 11 Home,Intel Core i7,Intel,16 GB,14 Inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/v/y/modern-14-c12m-459in-thin-and-light-laptop-msi-original-imagz4w6whjkzhat.jpeg?q=70,MSI Modern 14 C12M-459 Thin and Light Laptop,No,1 Year Carry-in Warranty,1.4 Kg,1.21 KG TO 1.50 KG,1,1,1,-52990,52990,35
High to Low,Low to High,FALSE,Acer,Full HD,No,No,N/A,(11th Gen),11th Gen,Intel Integrated Iris Xe,,Intel,https://www.flipkart.com/acer-aspire-lite-intel-core-i7-11th-gen-1165g7-16-gb-512-gb-ssd-windows-11-home-al15-51-thin-light-laptop/p/itme235c9041bd29?pid=COMGXPH65WZ53N2D&lid=LSTCOMGXPH65WZ53N2DHSNF0G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=14482f62-dfd0-42bb-bf43-1aa9aadd4e90.COMGXPH65WZ53N2D.SEARCH&ppt=sp&ppn=sp&qH=c06ea84a1e3dc3c6,AL15-51,Yes,Windows 11 Home,Intel Core i7,Intel,16 GB,15.6 inch,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/7/n/r/al15-51-thin-and-light-laptop-acer-original-imagrtakqhprf7eu.jpeg?q=70,Acer Aspire Lite AL15-51 Thin and Light Laptop,No,1 Year Onsite Warranty,1.59 Kg,1.51 KG TO 1.80 KG ,1,1,1,-50499,50499,36
